"","date","usd"
"1","2010-01-05",1513.6
"2","2010-01-12",1516.89
"3","2010-01-19",1520.76
"4","2010-01-26",1524.03
"5","2010-02-02",1527.36
"6","2010-02-09",1530.74
"7","2010-02-16",1534.15
"8","2010-02-23",1537.35
"9","2010-03-02",1540.03
"10","2010-03-09",1543.38
"11","2010-03-16",1546.99
"12","2010-03-23",1550.46
"13","2010-03-30",1553.7
"14","2010-04-06",1556.69
"15","2010-04-13",1560.01
"16","2010-04-20",1563.26
"17","2010-04-27",1566.44
"18","2010-05-04",1569.23
"19","2010-05-11",1572.3
"20","2010-05-18",1575.61
"21","2010-05-25",1578.87
"22","2010-06-01",1582.25
"23","2010-06-08",1585.55
"24","2010-06-15",1589.38
"25","2010-06-22",1592.25
"26","2010-06-29",1595
"27","2010-07-06",1597.71
"28","2010-07-13",1600.58
"29","2010-07-20",1603.01
"30","2010-07-27",1605.55
"31","2010-08-03",1607.61
"32","2010-08-10",1610
"33","2010-08-17",1611.3
"34","2010-08-24",1613.01
"35","2010-08-31",1614.49
"36","2010-09-07",1616.24
"37","2010-09-14",1617.32
"38","2010-09-21",1618.89
"39","2010-09-28",1620.2
"40","2010-10-05",1621.64
"41","2010-10-12",1623.25
"42","2010-10-19",1624.72
"43","2010-10-26",1626.3
"44","2010-11-02",1627.64
"45","2010-11-09",1629.27
"46","2010-11-16",1630.97
"47","2010-11-23",1632.49
"48","2010-11-30",1633.9
"49","2010-12-07",1635.44
"50","2010-12-14",1636.89
"51","2010-12-21",1638.52
"52","2010-12-28",1640
"53","2011-01-04",1640.55
"54","2011-01-11",1643.86
"55","2011-01-18",1647.41
"56","2011-01-25",1650.84
"57","2011-02-01",1654.25
"58","2011-02-08",1657.19
"59","2011-02-15",1660.7
"60","2011-02-22",1664.52
"61","2011-03-01",1667.2
"62","2011-03-10",1670.15
"63","2011-03-15",1674.18
"64","2011-03-23",1677.73
"65","2011-03-29",1681
"66","2011-04-05",1684.02
"67","2011-04-12",1686.18
"68","2011-04-19",1689.23
"69","2011-04-26",1691.57
"70","2011-05-03",1694.8
"71","2011-05-11",1697.11
"72","2011-05-17",1699.52
"73","2011-05-24",1701.78
"74","2011-05-31",1704
"75","2011-06-07",1706.61
"76","2011-06-14",1708.92
"77","2011-06-21",1711.05
"78","2011-06-28",1713.8
"79","2011-07-05",1716.82
"80","2011-07-12",1719.97
"81","2011-07-19",1722.4
"82","2011-07-26",1724.94
"83","2011-08-02",1727
"84","2011-08-09",1729.12
"85","2011-08-16",1731.36
"86","2011-08-23",1734.14
"87","2011-08-29",1736.77
"88","2011-09-06",1739.47
"89","2011-09-13",1741.78
"90","2011-09-20",1744.25
"91","2011-09-27",1746.6
"92","2011-10-04",1750.27
"93","2011-10-11",1754.21
"94","2011-10-18",1757.83
"95","2011-10-25",1761.61
"96","2011-11-01",1765.53
"97","2011-11-08",1769.22
"98","2011-11-15",1772.98
"99","2011-11-22",1776.59
"100","2011-11-29",1780.22
"101","2011-12-06",1783.85
"102","2011-12-13",1787.54
"103","2011-12-20",1791.38
"104","2011-12-27",1795
"105","2012-01-04",1796.22
"106","2012-01-10",1800.11
"107","2012-01-17",1804.31
"108","2012-01-24",1808.17
"109","2012-01-31",1811.86
"110","2012-02-07",1816.76
"111","2012-02-14",1820.56
"112","2012-02-21",1824.38
"113","2012-02-28",1827.89
"114","2012-03-06",1832.19
"115","2012-03-13",1835.75
"116","2012-03-20",1839.4
"117","2012-03-27",1843.5
"118","2012-04-03",1846.65
"119","2012-04-10",1849.76
"120","2012-04-17",1853.01
"121","2012-04-24",1856.15
"122","2012-05-01",1859.07
"123","2012-05-08",1862.03
"124","2012-05-15",1865.13
"125","2012-05-22",1868.65
"126","2012-05-29",1871.44
"127","2012-06-05",1874.85
"128","2012-06-12",1878.06
"129","2012-06-19",1881.31
"130","2012-06-26",1884.75
"131","2012-07-03",1888.64
"132","2012-07-10",1892.59
"133","2012-07-17",1896.57
"134","2012-07-24",1900.62
"135","2012-07-31",1904.9
"136","2012-08-07",1909.21
"137","2012-08-14",1913.35
"138","2012-08-22",1917.64
"139","2012-08-28",1921.74
"140","2012-09-04",1926.04
"141","2012-09-11",1930.25
"142","2012-09-18",1934.37
"143","2012-09-25",1938.6
"144","2012-10-03",1942.25
"145","2012-10-09",1945.94
"146","2012-10-16",1949.15
"147","2012-10-23",1952.6
"148","2012-10-30",1956.21
"149","2012-11-06",1960
"150","2012-11-13",1963.15
"151","2012-11-20",1966.36
"152","2012-11-27",1969.43
"153","2012-12-04",1972.99
"154","2012-12-11",1976.44
"155","2012-12-18",1980.25
"156","2012-12-25",1984
"157","2013-01-01",1985.46
"158","2013-01-08",1985.55
"159","2013-01-15",1988.56
"160","2013-01-22",1993.53
"161","2013-01-29",1998.82
"162","2013-02-05",2004.36
"163","2013-02-12",2010.08
"164","2013-02-19",2015.76
"165","2013-02-26",2021.22
"166","2013-03-05",2026.04
"167","2013-03-12",2030.73
"168","2013-03-19",2035.05
"169","2013-03-26",2039.6
"170","2013-04-02",2044.27
"171","2013-04-09",2049.18
"172","2013-04-16",2054.3
"173","2013-04-23",2059.59
"174","2013-04-30",2064.61
"175","2013-05-07",2069.48
"176","2013-05-14",2073.97
"177","2013-05-21",2077.92
"178","2013-05-28",2081.59
"179","2013-06-04",2084.95
"180","2013-06-11",2088.09
"181","2013-06-18",2090.7
"182","2013-06-25",2093.1
"183","2013-07-02",2096.19
"184","2013-07-09",2098.56
"185","2013-07-16",2101.48
"186","2013-07-23",2104.62
"187","2013-07-30",2107.93
"188","2013-08-06",2111.45
"189","2013-08-13",2115.36
"190","2013-08-20",2119.73
"191","2013-08-27",2124.51
"192","2013-09-03",2129.72
"193","2013-09-10",2135.26
"194","2013-09-17",2140.95
"195","2013-09-24",2146.7
"196","2013-10-01",2152.51
"197","2013-10-08",2158.36
"198","2013-10-15",2163.83
"199","2013-10-22",2168.97
"200","2013-10-29",2173.94
"201","2013-11-05",2178.56
"202","2013-11-12",2182.9
"203","2013-11-19",2186.96
"204","2013-11-26",2190.67
"205","2013-12-03",2194.15
"206","2013-12-10",2197.27
"207","2013-12-17",2199.93
"208","2013-12-24",2202.15
"209","2013-12-31",2202.2
"210","2014-01-07",2203.22
"211","2014-01-14",2203.29
"212","2014-01-21",2203.39
"213","2014-01-28",2203.49
"214","2014-02-04",2209.68
"215","2014-02-11",2215.99
"216","2014-02-18",2222.73
"217","2014-02-25",2229.71
"218","2014-03-04",2236.66
"219","2014-03-11",2243.49
"220","2014-03-18",2250.36
"221","2014-03-25",2257.3
"222","2014-04-01",2262.93
"223","2014-04-08",2267.74
"224","2014-04-15",2272.02
"225","2014-04-22",2276.19
"226","2014-04-29",2280.28
"227","2014-05-06",2284.42
"228","2014-05-13",2288.33
"229","2014-05-20",2292.31
"230","2014-05-27",2296.43
"231","2014-06-03",2300.57
"232","2014-06-10",2304.44
"233","2014-06-17",2308.39
"234","2014-06-24",2312.3
"235","2014-07-01",2316.27
"236","2014-07-08",2320.16
"237","2014-07-15",2324.1
"238","2014-07-22",2328.16
"239","2014-07-30",2332.24
"240","2014-08-05",2336.2
"241","2014-08-12",2340.19
"242","2014-08-19",2344.38
"243","2014-08-26",2348.02
"244","2014-09-03",2351.84
"245","2014-09-09",2355.69
"246","2014-09-16",2359.56
"247","2014-09-23",2363.47
"248","2014-09-30",2367.4
"249","2014-10-07",2371.45
"250","2014-10-14",2375.56
"251","2014-10-21",2379.75
"252","2014-10-28",2383.98
"253","2014-11-04",2388.25
"254","2014-11-11",2392.5
"255","2014-11-18",2396.79
"256","2014-11-25",2401.09
"257","2014-12-02",2405.41
"258","2014-12-10",2409.67
"259","2014-12-16",2413.96
"260","2014-12-23",2418.2
"261","2014-12-30",2422.4
"262","2015-01-06",2424.23
"263","2015-01-13",2424.31
"264","2015-01-20",2430.17
"265","2015-01-27",2436.16
"266","2015-02-03",2442.13
"267","2015-02-10",2448.16
"268","2015-02-17",2454.3
"269","2015-02-24",2460.32
"270","2015-03-03",2466.86
"271","2015-03-10",2472.34
"272","2015-03-17",2478.23
"273","2015-03-24",2484.15
"274","2015-03-31",2490.2
"275","2015-04-07",2496.16
"276","2015-04-14",2501.87
"277","2015-04-21",2507.4
"278","2015-04-28",2512.73
"279","2015-05-05",2517.8
"280","2015-05-12",2522.73
"281","2015-05-19",2527.58
"282","2015-05-26",2532.34
"283","2015-06-02",2537.54
"284","2015-06-09",2541.65
"285","2015-06-16",2546.22
"286","2015-06-23",2550.85
"287","2015-06-30",2555.6
"288","2015-07-07",2560.42
"289","2015-07-14",2565.29
"290","2015-07-21",2570.22
"291","2015-07-28",2575.18
"292","2015-08-04",2580.19
"293","2015-08-11",2585.27
"294","2015-08-18",2590.38
"295","2015-08-25",2595.52
"296","2015-09-03",2601.06
"297","2015-09-08",2605.83
"298","2015-09-15",2610.89
"299","2015-09-22",2615.91
"300","2015-09-29",2621
"301","2015-10-06",2635.08
"302","2015-10-13",2649.22
"303","2015-10-20",2663.45
"304","2015-10-27",2677.75
"305","2015-11-03",2692.13
"306","2015-11-10",2706.59
"307","2015-11-17",2721.12
"308","2015-11-24",2735.74
"309","2015-12-01",2750.43
"310","2015-12-10",2765.2
"311","2015-12-22",2794.98
"312","2015-12-29",2809.98
"313","2016-01-05",2816.47
"314","2016-01-12",2821.43
"315","2016-01-19",2826.48
"316","2016-01-26",2831.49
"317","2016-02-02",2836.87
"318","2016-02-09",2841.6
"319","2016-02-16",2846.63
"320","2016-02-23",2851.65
"321","2016-03-01",2856.64
"322","2016-03-10",2861.68
"323","2016-03-15",2866.75
"324","2016-03-23",2871.77
"325","2016-03-29",2876.72
"326","2016-04-05",2882.68
"327","2016-04-12",2888.39
"328","2016-04-19",2893.92
"329","2016-04-26",2899.25
"330","2016-05-03",2904.68
"331","2016-05-11",2909.25
"332","2016-05-17",2914.1
"333","2016-05-24",2919.35
"334","2016-05-31",2924.63
"335","2016-06-07",2929.14
"336","2016-06-14",2933.99
"337","2016-06-21",2938.71
"338","2016-07-05",2948.59
"339","2016-07-12",2953.84
"340","2016-07-19",2958.87
"341","2016-07-26",2964.03
"342","2016-08-02",2969.43
"343","2016-08-09",2974.2
"344","2016-08-16",2979.31
"345","2016-08-23",2984.45
"346","2016-08-30",2989.64
"347","2016-09-06",2994.76
"348","2016-09-14",3000.25
"349","2016-09-20",3005.11
"350","2016-09-27",3010.2
"351","2016-10-04",3028.47
"352","2016-10-11",3046.85
"353","2016-10-18",3065.35
"354","2016-10-25",3083.96
"355","2016-11-01",3102.18
"356","2016-11-08",3120.51
"357","2016-11-15",3138.95
"358","2016-11-22",3157.5
"359","2016-11-29",3176.16
"360","2016-12-06",3189.93
"361","2016-12-13",3203.7
"362","2016-12-20",3217.56
"363","2016-12-27",3231.48
"364","2017-01-04",3239.62
"365","2017-01-10",3243.89
"366","2017-01-17",3251.06
"367","2017-01-24",3265.54
"368","2017-01-31",3280.25
"369","2017-02-07",3294.74
"370","2017-02-14",3309.35
"371","2017-02-21",3356.87
"372","2017-02-28",3404.35
"373","2017-03-07",3452.3
"374","2017-03-14",3500.01
"375","2017-03-23",3548.11
"376","2017-03-28",3595.02
"377","2017-04-04",3623.07
"378","2017-04-11",3650.74
"379","2017-04-18",3678.89
"380","2017-04-25",3706.22
"381","2017-05-02",3734.91
"382","2017-05-11",3765.77
"383","2017-05-16",3790
"384","2017-05-23",3820.46
"385","2017-05-30",3846.33
"386","2017-06-06",3874.48
"387","2017-06-13",3903.19
"388","2017-06-20",3930.91
"389","2017-06-28",3958.56
"390","2017-07-04",3986.55
"391","2017-07-11",4014.5
"392","2017-07-18",4042.47
"393","2017-07-25",4070.38
"394","2017-08-01",4098.37
